,ord_cat_cols_pipe__insured_sex,ord_cat_cols_pipe__incident_severity,ohe_cat_cols_pipe__insured_relationship_husband,ohe_cat_cols_pipe__insured_relationship_not-in-family,ohe_cat_cols_pipe__insured_relationship_other-relative,ohe_cat_cols_pipe__insured_relationship_own-child,ohe_cat_cols_pipe__insured_relationship_unmarried,ohe_cat_cols_pipe__insured_relationship_wife,ohe_cat_cols_pipe__incident_type_Multi-vehicle Collision,ohe_cat_cols_pipe__incident_type_Parked Car,ohe_cat_cols_pipe__incident_type_Single Vehicle Collision,ohe_cat_cols_pipe__incident_type_Vehicle Theft,ohe_cat_cols_pipe__collision_type_Front Collision,ohe_cat_cols_pipe__collision_type_Other,ohe_cat_cols_pipe__collision_type_Rear Collision,ohe_cat_cols_pipe__collision_type_Side Collision,ohe_cat_cols_pipe__incident_severity_Major Damage,ohe_cat_cols_pipe__incident_severity_Minor Damage,ohe_cat_cols_pipe__incident_severity_Total Loss,ohe_cat_cols_pipe__incident_severity_Trivial Damage,ohe_cat_cols_pipe__authorities_contacted_Ambulance,ohe_cat_cols_pipe__authorities_contacted_Fire,ohe_cat_cols_pipe__authorities_contacted_Other,ohe_cat_cols_pipe__authorities_contacted_Police,ohe_cat_cols_pipe__property_damage_NO,ohe_cat_cols_pipe__property_damage_Other,ohe_cat_cols_pipe__property_damage_YES,ohe_cat_cols_pipe__police_report_available_NO,ohe_cat_cols_pipe__police_report_available_Other,ohe_cat_cols_pipe__police_report_available_YES,csl_sum__policy_csl,num_pipe__months_as_customer,num_pipe__age,num_pipe__policy_deductable,num_pipe__policy_annual_premium,num_pipe__umbrella_limit,num_pipe__capital-gains,num_pipe__capital-loss,num_pipe__incident_hour_of_the_day,num_pipe__number_of_vehicles_involved,num_pipe__bodily_injuries,num_pipe__witnesses,num_pipe__total_claim_amount,num_pipe__injury_claim,num_pipe__property_claim,num_pipe__vehicle_claim,num_pipe__auto_year,num_pipe__active_days,fraud_reported
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.13613816952562643,1.0925750158079124,0.9955410337246512,-0.3831305140884606,0.8060184525433651,-0.5897654187345795,1.0450200823751186,0.8463485045139969,-1.0466705851686193,-0.8369194425993867,-0.10383482633023308,0.6490630160730306,0.601375708343484,-0.2281936306434852,1.0980739166659608,0.6226643431233012,-0.4094289190740887,-1.6950275813580546,1
1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.13613816952562643,0.20932924716772444,0.3476835280470039,1.2132466279467917,-0.12717697061639385,1.4299791659728847,-0.9422630056295133,0.8463485045139969,-0.6211947375390994,-0.8369194425993867,-1.4017701554581454,-1.2599458547300009,-1.945600272381831,-1.3102438653233681,-1.4034010023720738,-1.996576904841323,0.11547995153373569,-0.6344802915054707,1
2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.880643784118896,-0.6209217753540522,-1.0560077342545653,1.2132466279467917,0.8337441785497809,1.4299791659728847,0.3664356133003663,0.8463485045139969,-0.7630200200822727,1.065170199671947,1.1941005027976794,1.6035674514745464,-0.8133557651703069,-0.0034746464778550525,-0.7759885839532203,-0.9401442087814714,0.11547995153373569,0.11875329521491235,0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.13613816952562643,0.456638062386977,0.23970727710072937,1.2132466279467917,0.845315107541222,1.8339280829143776,0.8809666942471565,-1.5842547116896761,-1.0466705851686193,-0.8369194425993867,-0.10383482633023308,0.6490630160730306,0.28711852767388923,-0.26029634266714663,-0.2671101077763653,0.5493234310946439,1.3402673162853258,1.418711260400555,1
4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.4592310046028083,0.20932924716772444,0.5636360299395531,-0.3831305140884606,1.593731695422269,1.8339280829143776,1.5185378162899184,-0.945442327943839,1.0807086529789807,-0.8369194425993867,-1.4017701554581454,-0.30544141932848506,-1.8908636379899284,-1.2120473344274625,-1.4299689549435561,-1.940492677995879,0.4654191986056186,-1.6404251466329711,0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.13613816952562643,0.456638062386977,0.023754775208180277,-0.3831305140884606,0.5576440113847677,-0.5897654187345795,-0.9422630056295133,0.8463485045139969,0.9388833704358074,1.065170199671947,-1.4017701554581454,0.6490630160730306,0.31391268436922615,-0.2470775788926978,-0.2528042871609517,0.5795226301652675,-0.5843985426100301,-0.678582258014192,1
6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.13613816952562643,-0.5944244022948465,-0.5161264795231925,-0.3831305140884606,0.4786501692316573,-0.5897654187345795,-0.9422630056295133,-2.1529535411219456,-1.755796997884486,1.065170199671947,-1.4017701554581454,-1.2599458547300009,0.8708483699651585,2.59306823778888,-0.10157132636943653,0.5131922464922906,0.990328069213443,0.13765413800436435,0
7,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.880643784118896,-0.3471155870755939,-0.19219772668436882,-0.3831305140884606,-0.39504397676826536,-0.5897654187345795,-0.9422630056295133,0.8463485045139969,1.5061845006085006,1.065170199671947,1.1941005027976794,0.6490630160730306,-0.16493717314315273,0.3137756841089169,0.35417124466445377,-0.41543312492938594,1.5152369398212673,1.4743637419472746,0
8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.880643784118896,-1.5659947477990532,-0.6241027304694671,-1.1813190851060869,0.966587344086138,-0.5897654187345795,-0.9422630056295133,0.8463485045139969,1.222533935522154,-0.8369194425993867,-0.10383482633023308,-0.30544141932848506,-1.079383463788295,-0.9344532951640371,-0.9967069591624587,-0.9908357215071611,0.990328069213443,0.5688733660896395,0
9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.880643784118896,0.06800992418529436,0.3476835280470039,-1.1813190851060869,0.40001235566289967,-0.5897654187345795,-0.9422630056295133,-0.6844640979988933,0.2297569577199407,-0.8369194425993867,1.1941005027976794,-0.30544141932848506,-0.5205339098569817,-0.5699930939542336,-0.6022750479089124,-0.411658225045558,-1.8091859073616203,-1.289009476992049,0
